File Name,examplePlateFileName.pcrd,,,,,,
Created By User,examplePlateUser,,,,,,
Notes,examplePlateNotes,,,,,,
ID,examplePlateID,,,,,,
Run Started,01/01/2026 16:00:00 UTC,,,,,,
Run Ended,01/01/2026 16:45:00 UTC,,,,,,
Sample Vol,10,,,,,,
Lid Temp,105,,,,,,
Protocol File Name,examplePlateProtocol.prcl,,,,,,
Plate Setup File Name,examplePlateSetup.pltd,,,,,,
Base Serial Number,XX000000,,,,,,
Optical Head Serial Number,000BR00000,,,,,,
CFX Manager Version,3.1.1517.0823. ,,,,,,
,,,,,,,
Well group,All Wells,,,,,,
Amplification step,3,,,,,,
Melt step,,,,,,,
,,,,,,,
,,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),End RFU
A01,FAM,fucP,Std-001,,15.93279277,2000,1061.935303
A02,FAM,fucP,Std-001,,16.8179711,2000,819.3810136
A03,FAM,fucP,Unkn-401,XX81,NaN,NaN,4.038383601
A04,FAM,fucP,Unkn-401,XX81,NaN,NaN,1.098277677
A05,FAM,fucP,Unkn-409,XX36,27.62336171,1.518108872,438.4626183
A06,FAM,fucP,Unkn-409,XX36,28.187169,1.047933296,427.1251054
A07,FAM,fucP,Unkn-417,XX88,23.12103215,29.29114513,671.9038244
A08,FAM,fucP,Unkn-417,XX88,23.02171674,31.26736642,621.8385306
A09,FAM,fucP,Unkn-425,XX30,NaN,NaN,3.895333244
A10,FAM,fucP,Unkn-425,XX30,NaN,NaN,1.842008976
A11,FAM,fucP,Unkn-433,XX75,NaN,NaN,2.196221981
A12,FAM,fucP,Unkn-433,XX75,NaN,NaN,3.893834986
B01,FAM,fucP,Std-002,,20.24456624,200,820.8403916
B02,FAM,fucP,Std-002,,20.87110067,200,847.6786979
B03,FAM,fucP,Unkn-402,XX40,30.84102013,0.18308313,355.2478316
B04,FAM,fucP,Unkn-402,XX40,31.56021745,0.114107598,315.4301275
B05,FAM,fucP,Unkn-410,XX44,NaN,NaN,1.656208161
B06,FAM,fucP,Unkn-410,XX44,NaN,NaN,-1.856906481
B07,FAM,fucP,Unkn-418,XX74,NaN,NaN,-0.515748172
B08,FAM,fucP,Unkn-418,XX74,NaN,NaN,0.930812065
B09,FAM,fucP,Unkn-426,XX72,23.19558358,27.89019892,639.1499839
B10,FAM,fucP,Unkn-426,XX72,22.74138374,37.59477746,590.4505001
B11,FAM,fucP,Unkn-434,XX86,NaN,NaN,3.850843466
B12,FAM,fucP,Unkn-434,XX86,NaN,NaN,1.914855658
C01,FAM,fucP,Std-003,,24.19651687,20,549.4314546
C02,FAM,fucP,Std-003,,23.47734729,20,656.2386169
C03,FAM,fucP,Unkn-403,XX01,23.77045467,19.11276743,710.6871438
C04,FAM,fucP,Unkn-403,XX01,23.14048356,28.91897472,741.0007372
C05,FAM,fucP,Unkn-411,XX27,25.09717895,7.989845601,674.5964005
C06,FAM,fucP,Unkn-411,XX27,24.18474241,14.55602311,665.6250517
C07,FAM,fucP,Unkn-419,XX33,25.01421071,8.437740392,607.2352633
C08,FAM,fucP,Unkn-419,XX33,24.38251301,12.78139996,788.6587494
C09,FAM,fucP,Unkn-427,XX90,26.79274793,2.620876379,609.6199444
C10,FAM,fucP,Unkn-427,XX90,26.37719969,3.44419119,589.9809269
C11,FAM,fucP,Unkn-435,XX64,NaN,NaN,12.05039571
C12,FAM,fucP,Unkn-435,XX64,NaN,NaN,6.232922336
D01,FAM,fucP,Std-004,,27.02961769,2,452.4092464
D02,FAM,fucP,Std-004,,27.3353032,2,546.9332049
D03,FAM,fucP,Unkn-404,XX83,24.65935357,10.65465315,773.2414243
D04,FAM,fucP,Unkn-404,XX83,23.66111437,20.53717364,759.0104407
D05,FAM,fucP,Unkn-412,XX62,NaN,NaN,-0.162624008
D06,FAM,fucP,Unkn-412,XX62,NaN,NaN,2.887664805
D07,FAM,fucP,Unkn-420,XX45,NaN,NaN,5.028152767
D08,FAM,fucP,Unkn-420,XX45,NaN,NaN,1.466430468
D09,FAM,fucP,Unkn-428,XX82,NaN,NaN,5.963488562
D10,FAM,fucP,Unkn-428,XX82,NaN,NaN,4.099638848
D11,FAM,fucP,Unkn-436,XX96,25.09150939,8.01968054,501.9040692
D12,FAM,fucP,Unkn-436,XX96,24.05419503,15.86041496,512.4493209
E01,FAM,fucP,Std-005,,30.27922081,0.2,283.0212204
E02,FAM,fucP,Std-005,,30.74426052,0.2,340.8788292
E03,FAM,fucP,Unkn-405,XX53,31.67961853,0.105493346,232.9759792
E04,FAM,fucP,Unkn-405,XX53,32.13518079,0.078191616,222.5673488
E05,FAM,fucP,Unkn-413,XX79,37.29748559,0.002626039,41.97396308
E06,FAM,fucP,Unkn-413,XX79,NaN,NaN,-0.999125895
